ID,drug_id,drug_smiles
48,103904238,FC(F)(F)c1ccccc1CNc2nccc(n2)c3c[nH]c4ncccc34
49,103904239,NC1CCCCC1Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34
50,103904240,Clc1cc(ncn1)c2c[nH]c3ncccc23
51,103904241,NC(=O)c1ccc(Nc2ncnc3[nH]cc(c4ccccc4)c23)cc1
52,103904242,Fc1cccc(c1)c2c[nH]c3ncccc23
53,103904243,Clc1cc(cc(NCC=C)n1)c2c[nH]c3ncccc23
54,103904244,CC(C)(Nc1nccc(n1)c2c[nH]c3ncccc23)c4ccccc4
55,103904245,CCCCNc1cc(ncn1)c2c[nH]c3ncccc23
56,103904246,Cc1cccc(CNc2cc(ncn2)c3c[nH]c4ncccc34)c1
57,103904247,FC(F)(F)c1cccc(CNc2cc(ncn2)c3c[nH]c4ncccc34)c1
58,103904248,COCCN(CCOC)c1cc(cc(Cl)n1)c2c[nH]c3ncccc23
59,103904249,CC(C)(O)CNc1cc(cc(Cl)n1)c2c[nH]c3ncccc23
60,103904250,COCC(C)Nc1cc(cc(Cl)n1)c2c[nH]c3ncccc23
61,103904251,Cc1cccc(CNc2cc(cc(Cl)n2)c3c[nH]c4ncccc34)c1C
62,103904252,CCCC(=O)Nc1cc(cc(Cl)n1)c2c[nH]c3ncccc23
63,103904253,Fc1cccc(F)c1C(=O)Nc2cc(cc(Cl)n2)c3c[nH]c4ncccc34
64,103904254,CN(C)CC(=O)NC1CCCC(C1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34
65,103904255,OC1CCCC(C1)Nc2cc(Cl)nc(n2)c3c[nH]c4ncccc34
66,103904256,OCCNc1cc(cc(Cl)n1)c2c[nH]c3ncccc23
67,103904257,OCCCCNc1cc(cc(Cl)n1)c2c[nH]c3ncccc23
68,103904258,N[C@@H]1CC[C@H](CC1)Nc2cc(Cl)nc(n2)c3c[nH]c4ncccc34
69,103904259,COCCNc1cc(cc(Cl)n1)c2c[nH]c3ncccc23
70,103904260,CS(=O)(=O)N[C@@H]1CC[C@H](CC1)Nc2cc(Cl)nc(n2)c3c[nH]c4ncccc34
71,103904261,CC(C)(CO)CCCNc1cc(cc(Cl)n1)c2c[nH]c3ncccc23
72,103904262,CCCCC(=O)Nc1cc(cc(Cl)n1)c2c[nH]c3ncccc23
73,103904263,Clc1cc(cc(NC(=O)c2ccccc2)n1)c3c[nH]c4ncccc34
74,103904264,NC(=O)c1ccccc1c2ncc[nH]2
75,103904265,OCCc1ccc(Nc2ncnc3[nH]cc(c4ccccc4)c23)cc1
76,103904268,NC(=O)c1ccc(cc1)c2c[nH]c3nc(N)nc(NCc4c(F)cccc4F)c23
77,103904269,CNCC#Cc1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3
78,103904270,Nc1c(cnc2c(cnn12)c3ccc4OCOc4c3)c5ccc(NC(=O)Nc6cccc(c6)C(F)(F)F)cc5
79,103904271,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#CCCCCCCCCN)c1
80,103904272,Nc1ncc(c2cnn(CCO)c2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13
81,103904273,COc1ccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cnn(C[C@H](O)CO)c5)cc1
82,103904274,CCN(CC)CCCNC(=O)c1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3
83,103904275,Cc1cccc(NC(=O)Nc2ccc(cc2)c3coc4ncnc(N)c34)c1
84,103904276,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4ncnc(N)c34)c1
85,103904277,Nc1ncnc2scc(c3ccc(NC(=O)Nc4cc(ccc4F)C(F)(F)F)cc3)c12
86,103904278,Cc1cc(C)cc(NC(=O)Nc2ccc(c(C)c2)c3cccc4C(=O)NCc34)c1
87,103904279,Nc1ncc(c2ccncc2)c3scc(c4ccc(NC(=O)Nc5cc(ccc5F)C(F)(F)F)cc4)c13
88,103904280,CN(C)CC#Cc1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3
89,103904281,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#CCN5CCCC5)c1
90,103904282,Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)c3coc4c(cnc(N)c34)C#CCN5CCOCC5)c1
91,103904283,CC(C(=O)N(C)C)n1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5ccc(C)cc5)cc4
92,103904284,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12
93,103904285,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13
94,103904286,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13
95,103904287,Cc1ccc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(F)c5)cc4
96,103904288,Cc1cccc(NC(=O)Nc2ccc(cc2)c3cnc4c(cnn4c3N)c5cnn(C)c5)c1
97,103904289,Cn1cc(cn1)c2cnn3c(N)c(cnc23)c4ccc(NC(=O)Nc5cccc(c5)C(F)(F)F)cc4
98,103904290,Cc1ccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cnn(C)c5)cc1
99,103904291,COc1ccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cnn(CC(C)(C)O)c5)cc1
100,103904292,Cn1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5ccc(OC(F)F)cc5)cc4
101,103904293,CNC(=O)C(C)n1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5ccc(C)cc5)cc4
102,103904294,Cc1cc(C)cc(NC(=O)Nc2ccc(cc2)c3c(C)sc4ncnc(N)c34)c1
103,103904295,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4ccnc(N)c34)c1
104,103904296,Cc1ccc(NC(=O)Nc2ccc(cc2)c3csc4ncnc(N)c34)cc1C
105,103904297,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#Cc5cccnc5)c1
106,103904298,Cc1cc(C)cc(NC(=O)Nc2ccc(cc2)c3cccc4onc(N)c34)c1
107,103904299,Cc1cccc(NC(=O)Nc2ccc(cc2)c3cncc4[nH]nc(N)c34)c1
108,103904300,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#CCN)c1
109,103904301,Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)c3c(F)ccc4[nH]nc(N)c34)c1
110,103904302,CCC(N)(CC)C#Cc1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3
111,103904303,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#CC(C)(C)N)c1
112,103904304,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#CCNS(=O)(=O)C)c1
113,103904305,Cn1nc(N)c2c(cncc12)c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3
114,103904306,Nc1n[nH]c2nccc(c3ccc(NC(=O)Nc4cc(ccc4F)C(F)(F)F)cc3)c12
115,103904307,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#CCN5CCOCC5)c1
116,103904308,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cn[nH]c5)c1
117,103904309,CNC(=O)c1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3
118,103904310,CNC(=O)c1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cc(C)ccc4F)cc3
119,103904311,Cn1nc(N)c2c(ccnc12)c3ccc(NC(=O)Nc4cccc(c4)C(F)(F)F)cc3
120,103904312,Cn1nc(N)c2c(ccnc12)c3ccc(NC(=O)Nc4ccc(F)c(c4)C(F)(F)F)cc3
121,103904313,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cnn(C)c5)c1
122,103904314,Cn1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(F)c5)cc4
123,103904315,CCCn1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(F)c5)cc4
124,103904316,COC(=O)c1c(C)n2ncnc(N)c2c1c3ccc(NC(=O)Nc4ccccc4)cc3
125,103904317,CCOc1ccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cnn(C)c5)cc1
126,103904318,COc1ccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cnn(CCO)c5)cc1
127,103904319,CCN(CC)CC#Cc1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3
128,103904320,CCN(CC)CCNC(=O)\C=C\c1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3
129,103904321,Cc1cc2cc(ccc2[nH]1)c3csc4c(cnc(N)c34)c5cccc(c5)S(=O)(=O)C
130,103904322,C[C@@H](O)Cn1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(F)c5)cc4
131,103904323,Nc1ncc(c2cnn(CCO)c2)c3scc(c4ccc(NC(=O)Nc5ccc(OC(F)F)cc5)cc4)c13
132,103904324,CCN(CC)CCCNC(=O)c1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(F)c4)cc3
133,103904326,C[C@H](O)Cn1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(C)c5)cc4
134,103904327,Nc1nccc2scc(c3ccc(NC(=O)Nc4ccccc4C(F)(F)F)cc3)c12
135,103904328,Cc1cccc(NC(=O)Nc2ccc(cc2)c3cccc4[nH]ncc34)c1
136,103904329,Cc1ccc(NC(=O)Nc2ccc(cc2)c3coc4ncnc(N)c34)cc1
137,103904330,Cc1cc(C)cc(NC(=O)Nc2ccc3c(CCc4sc5ncnc(N)c5c34)c2)c1
138,103904331,Cc1ccc(NC(=O)Nc2ccc(NC(=O)c3csc4ncnc(N)c34)cc2)cc1
139,103904332,Cc1cc(C)cc(NC(=O)Nc2ccc(c3cccc4C(=O)NCc34)c(c2)C(F)(F)F)c1
140,103904333,Cc1cccc(NC(=O)Nc2ccc(cc2)c3cccc4[nH]nc(N)c34)c1
141,103904334,Cc1ccc(c2ccc(NC(=O)Nc3cccc(Br)c3)cc2)c4c(N)n[nH]c14
142,103904335,COc1ccc(c2ccc(NC(=O)Nc3cccc(Br)c3)cc2)c4c(N)noc14
143,103904336,CCNC(=O)c1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(F)c4)cc3
144,103904337,Cc1cccc(NC(=O)Nc2ccc(cc2)c3cccc4C(=O)NCc34)c1
145,103904338,Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)c3cncc4c3c(N)nn4C)c1
146,103904339,Cc1cccc(NC(=O)Nc2ccc(cc2)c3cncc4c3c(N)nn4C)c1
147,103904340,Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)c3cccc4[nH]nc(N)c34)c1
148,103904341,CC(C)(C(=O)N)n1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(F)c5)cc4
149,103904343,Cc1cccc(NC(=O)Nc2ccc(cc2F)c3csc4c(cnc(N)c34)c5cnn(CCO)c5)c1
150,103904344,CN(C)CCCC(=O)Nc1ccc(cc1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(C)c5)cc4
151,103904345,CCc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cnn(C)c5)c1
152,103904346,Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)c3nsc4ncnc(N)c34)c1
153,103904347,Nc1nccc2scc(c3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12
154,103904348,Cc1cccc(NC(=O)Nc2ccc3c(CCc4sc5ncnc(N)c5c34)c2)c1
155,103904349,Nc1ncnc2sc3CCc4cc(NC(=O)Nc5ccccc5)ccc4c3c12
156,103904350,Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)c3ccc4nccnc4c3N)c1
157,103904351,COc1ccc(c2ccc(NC(=O)Nc3ccc(F)c(C)c3)cc2)c4c(N)noc14
158,103904352,Nc1ncnc2scc(C(=O)Nc3ccc(NC(=O)Nc4ccccc4)cc3)c12
159,103904353,Cc1cc(C)cc(NC(=O)Nc2ccc(NC(=O)c3csc4ncnc(N)c34)cc2)c1
160,103904354,C[C@@H](O)Cn1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(C)c5)cc4
161,103904355,Cc1cccc(NC(=O)Nc2ccc(NC(=O)c3csc4ncnc(N)c34)cc2)c1
162,103904356,Cc1ccccc1NC(=O)Nc2ccc3c(CCc4sc5ncnc(N)c5c34)c2
163,103904357,Nc1ncnc2onc(c3ccc(NC(=O)Nc4cccc(c4)C(F)(F)F)cc3)c12
164,103904358,Cc1n[nH]c2cccc(c3ccc(NC(=O)Nc4cccc(c4)C(F)(F)F)cc3)c12
165,103904359,Nc1nccc2scc(c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3)c12
166,103904360,Cc1cccc(NC(=O)Nc2ccc(cc2C)c3cccc4C(=O)NCc34)c1
167,103904361,CCc1cccc(NC(=O)Nc2ccc3c(CCc4sc5ncnc(N)c5c34)c2)c1
168,103904362,Nc1nccc2scc(c3ccc(NC(=O)Nc4cccc(Br)c4)cc3)c12
169,103904363,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4nc(N)nc(N)c34)c1
170,103904364,O=C1Nc2cc(cnc2N1)c3ccccc3
171,103904365,Cc1cccc(NC(=O)Nc2ccc(cc2)c3noc4ncnc(N)c34)c1
172,103904366,Cn1nc(N)c2c(cncc12)c3ccc(NC(=O)Nc4cccc(c4)C(F)(F)F)cc3
173,103904367,Nc1n[nH]c2cc(ccc12)c3ccc(NC(=O)Nc4cccc(c4)C(F)(F)F)cc3
174,103904368,Cc1ccccc1NC(=O)Nc2ccc(cc2)c3coc4ncnc(N)c34
175,103904369,Cc1cccc(NC(=O)Nc2ccc(cc2)c3ccc4nccnc4c3N)c1
176,103904370,Nc1n[nH]c2cccc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12
177,103904371,Nc1c(ccc2nccnc12)c3ccc(NC(=O)Nc4cccc(c4)C(F)(F)F)cc3
178,103904372,Cc1cc(NC(=O)Nc2ccc(cc2)c3cccc4[nH]nc(N)c34)ccc1F
179,103904373,Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)c3cncc4[nH]nc(N)c34)c1
180,103904374,Cc1cccc(NC(=O)Nc2ccc(c(F)c2)c3cccc4[nH]nc(N)c34)c1
181,103904375,Cc1cc(NC(=O)Nc2ccc(cc2)c3c(F)ccc4[nH]nc(N)c34)ccc1F
182,103904376,Cc1cc(NC(=O)Nc2ccc(cc2)c3ccnc4[nH]nc(N)c34)ccc1F
183,103904377,Cc1ccc(NC(=O)Nc2ccc(cc2)c3cccc4C(=O)NCc34)cc1C
184,103904379,Fc1ccc(NC(=O)Nc2ccc(cc2)c3cccc4sncc34)cc1C(F)(F)F
185,103904380,O=C(Nc1ccccc1)Nc2ccccc2
186,103904381,Cc1cc(C)cc(NC(=O)Nc2ccc(cc2)c3cccc4snc(N)c34)c1
187,103904382,Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)c3cccc4c3c(N)nn4C)c1
188,103904383,Cc1cccc(NC(=O)Nc2ccc(cc2)c3cccc(c3)C(=O)N)c1
189,103904384,Cc1cc(C)cc(NC(=O)Nc2ccc(cc2)c3cccc4sncc34)c1
190,103904385,Cc1cc(C)cc(NC(=O)Nc2ccc(cc2)c3ccnc4c3c(N)nn4C)c1
191,103904386,O=C(Nc1ccccc1)Nc2ccccn2
192,103904387,CCc1cccc(NC(=O)Nc2ccc(cc2)c3c(C)oc4ncnc(N)c34)c1
193,103904388,Cc1oc2ncnc(N)c2c1c3ccc(NC(=O)Nc4cccc(c4)C(F)(F)F)cc3
194,103904389,Nc1ccc(cc1)c2csc3ccnc(N)c23
195,103904393,Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)c3cc(CO)c(F)c4[nH]nc(N)c34)c1
196,103904398,Cc1cccc(NC(=O)Nc2ccc(cc2)c3nn(C)c4ncnc(N)c34)c1
197,103904399,Cc1oc2ncnc(N)c2c1c3ccc(NC(=O)Nc4cc(ccc4F)C(F)(F)F)cc3
198,103904400,CN(C)C(=O)\C=C\c1ccc(c2ccc(NC(=O)Nc3cccc(c3)C(F)(F)F)cc2)c4c(N)n[nH]c14
199,103904401,Nc1ncnc2sc3CCc4cc(NC(=O)Nc5cccc(c5)C(F)(F)F)ccc4c3c12
200,103904403,Cc1nc(N)sc1c2ccnc(Nc3ccc(cc3)N4CCOCC4)n2
201,103904404,CCNc1nc(C)c(s1)c2ccnc(Nc3ccc(cc3)N4CCN(CC4)C(=O)C)n2
202,103904405,CNc1nc(C)c(s1)c2ccnc(Nc3ccc(cc3)N4CCNCC4)n2
203,103904406,CN1CCN(CC1)c2ccc(Nc3ncc(Cl)c(Nc4ccc5[nH]ncc5c4)n3)cc2
204,103904407,Fc1ccccc1C(=O)Nc2cccc(c2Cl)c3nc4sccn4c3c5ccnc(Nc6cccc(c6)N7CCOCC7)n5
205,103904408,COc1ccc(CN(C)C)cc1Nc2nccc(n2)c3c(nc4sccn34)c5cccc(NC(=O)Cc6ccccc6)c5
206,103904409,CN(C)c1c(NC(=O)c2c(F)cccc2F)cccc1c3nc4sccn4c3c5ccnc(Nc6cccc(c6)N7CCOCC7)n5
207,103904410,C[C@H](Nc1nccc(n1)c2c(nc3occn23)c4ccc(F)cc4)c5ccccc5
208,103904411,O=C(Cc1ccccc1)Nc2cccc(c2)c3nc4sccn4c3c5ccnc(Nc6cccc(c6)N7CCCC7=O)n5
209,103904412,CN(C)CCc1ccc(Nc2nccc(n2)c3c(nc4ccccn34)c5cccc(c5)C(O)CO)cc1
210,103904413,CN1CCN(CC1)c2ccc(Nc3nc(N)c(s3)C(=O)c4c(Cl)cccc4Cl)cc2
211,103904414,Fc1ccc(cc1)c2nc3occn3c2c4ccnc(NC5CCNCC5)n4
212,103904415,CN1CCN(CC1)c2ccc(Nc3ncc(C)c(Nc4cccc(c4)S(=O)(=O)NC(C)(C)C)n3)cc2
213,103904416,CCNc1nc(C)c(s1)c2ccnc(Nc3ccc(cc3)N4CCNCC4)n2
214,103904417,O=C(Cc1ccccc1)Nc2cccc(c2)c3nc4sccn4c3c5ccnc(Nc6ccc(cc6)N7CCOCC7)n5
215,103904418,CCN1CCN(CC1)c2ccc(Nc3nccc(n3)c4c(nc5ccccn45)c6cccc(c6)C(=O)Nc7ccccc7F)cc2
216,103904419,Fc1cccc(F)c1C(=O)Nc2cccc(c2)c3nc4sccn4c3c5ccnc(Nc6cccc(c6)N7CCCC7=O)n5
217,103904420,O=C(Cc1ccccc1)Nc2cccc(c2)c3nc4sccn4c3c5ccnc(Nc6cccc(c6)N7CCOCC7)n5
218,103904421,CN(C)CCc1cccc(Nc2nccc(n2)c3c(nc4sccn34)c5cccc(NC(=O)Cc6ccccc6)c5)c1
219,103904422,CN1CCN(CC1)c2cccc(Nc3nccc(n3)c4c(nc5ccccn45)C(=O)N)c2
220,103904423,CC(=O)N1CCC(CC1)Nc2nccc(n2)c3c(nc4occn34)c5ccc(F)cc5
221,103904424,CN(C)CC(C)(C)CNc1nccc(n1)c2c(nc3occn23)c4ccc(F)cc4
222,103904425,C[C@@H](Nc1nccc(n1)c2c(nc3occn23)c4ccc(F)cc4)c5ccccc5
223,103904426,Clc1ccc(cc1NC(=O)Cc2ccccc2)c3nc4sccn4c3c5ccnc(Nc6cccc(c6)N7CCOCC7)n5
224,103904427,CN(C)c1ccc(cc1NC(=O)Cc2ccccc2)c3nc4sccn4c3c5ccnc(Nc6cccc(c6)N7CCOCC7)n5
225,103904428,Cc1ccccc1Nc2nccc(n2)c3c(nc4sccn34)c5cccc(NC(=O)c6ccccc6)c5
226,103904429,Cc1ccccc1Nc2nccc(n2)c3c(nc4sccn34)c5cccc(NC(=O)Cc6ccccc6)c5
227,103904430,CCOc1ccc(cc1NC(=O)Cc2ccccc2)c3nc4sccn4c3c5ccnc(Nc6cccc(c6)N7CCOCC7)n5
228,103904431,COc1ccc(CN(C)C)cc1Nc2nccc(n2)c3c(nc4sccn34)c5cccc(NC(=O)c6c(F)cccc6F)c5
229,103904432,Clc1ccccc1Nc2nccc(n2)c3c(nc4sccn34)c5cccc(NC(=O)Cc6ccccc6)c5
230,103904433,CN(C)c1c(NC(=O)Cc2ccccc2)cccc1c3nc4sccn4c3c5ccnc(Nc6cccc(c6)N7CCOCC7)n5
231,103904434,CN(C)c1ccc(cc1NC(=O)c2ccccc2)c3nc4sccn4c3c5ccnc(Nc6cccc(c6)N7CCOCC7)n5
232,103904435,Clc1ccccc1Nc2nccc(n2)c3c(nc4sccn34)c5cccc(NC(=O)c6ccccc6)c5
233,103904436,CCOc1ccc(cc1)c2nc3ccccn3c2c4ccnc(Nc5cccc(CCN(C)C)c5)n4
234,103904438,CNc1nc(C)c(s1)c2ccnc(Nc3ccc(cc3)N4CCN(CC4)C(=O)C)n2
235,103904439,CN(C)CCNC(=O)c1ccc(cc1)c2ccnc(Nc3cccc(F)c3)n2
236,103904440,COc1cccc(c1)C(=O)Nc2cccc(c2)c3nc4sccn4c3c5ccnc(Nc6ccc(cc6)N7CCOCC7)n5
237,103904441,Oc1c(Br)cc(\C=N\NC(=O)Nc2ccccc2)cc1Br
238,103904442,Brc1ccc2NNC(=O)c2c1
239,103904443,COc1ccc(c2ccc(NC(=O)Nc3cc(F)cc(F)c3)cc2)c4c(N)noc14
240,103904444,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1
241,103904445,Nc1n[nH]c2cccc(c3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12
242,103904446,Nc1n[nH]c2cccc(c3ccc(NC(=O)Nc4cccc(Cl)c4)c(F)c3)c12
243,103904448,Cc1cc(Cl)ccc1NC(=S)NNC(=O)C(O)(c2ccccc2)c3ccccc3
244,103904449,OC(C(=O)NNC(=S)Nc1ccc(F)cc1)(c2ccccc2)c3ccccc3
245,103904450,OC(C(=O)NNC(=S)Nc1ccc(Cl)cc1)(c2ccccc2)c3ccccc3
246,103904451,Nc1ncnn2ccc(C(=O)Nc3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12
247,103904452,NC1=C(c2ccccc2)c3cc(Cl)ccc3NC1=O
248,103904453,Oc1ccc(Cl)cc1NC(=O)Nc2cccc(c2)C(F)(F)F
249,103904454,O=C(Nc1ccccc1)Nc2nccs2
250,103904455,Fc1cccc(NC(=O)Nc2ccc(cc2)c3ccc4cn[nH]c4c3)c1
