target_id,target_key,gene,uniprot,specified_pdb,specified_file_id,source_type,source_path,local_pdb,status,size_bytes
12,metz_012_PIM2,PIM2,Q9P1W9,Q9P1W9_AF_v2,12 Q9P1W9_AF_v2.pdb,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_012_PIM2\metz_012_pim2.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_012_PIM2\metz_012_PIM2.pdb,copied,201284
13,metz_013_MELK,MELK,Q14680,	4IXP,13 Q14680_PDB_4IXP.ent,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_013_MELK\metz_013_melk.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_013_MELK\metz_013_MELK.pdb,copied,474093
14,metz_014_CAMK2G,CAMK2G,Q13555,2V7O,14 Q13555_PDB_2V7O.ent,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_014_CAMK2G\metz_014_camk2g.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_014_CAMK2G\metz_014_CAMK2G.pdb,copied,256122
15,metz_015_CDC42BPA,CDC42BPA,Q5VT25,Q5VT25_AF_v2,15 Q5VT25_AF_v2.pdb,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_015_CDC42BPA\metz_015_cdc42bpa.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_015_CDC42BPA\metz_015_CDC42BPA.pdb,copied,1135538
16,metz_016_PHKG2,PHKG2,P15735,P15735_AF_v2,16 P15735_AF_v2.pdb,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_016_PHKG2\metz_016_phkg2.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_016_PHKG2\metz_016_PHKG2.pdb,copied,271430
17,metz_017_PKN2,PKN2,Q16513,4CRS,17 Q16513_PDB_4CRS.ent,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_017_PKN2\metz_017_pkn2.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_017_PKN2\metz_017_PKN2.pdb,copied,265923
18,metz_018_PRKCD,PRKCD,Q05655,Q05655_AF_v2,18 Q05655_AF_v2.pdb,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_018_PRKCD\metz_018_prkcd.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_018_PRKCD\metz_018_PRKCD.pdb,copied,449549
19,metz_019_PRKCG,PRKCG,P05129,P05129_AF_v2,19 P05129_AF_v2.pdb,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_019_PRKCG\metz_019_prkcg.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_019_PRKCG\metz_019_PRKCG.pdb,copied,455624
20,metz_020_PAK1,PAK1,Q13153,3Q52,20 Q13153_PDB_3Q52.ent,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_020_PAK1\metz_020_pak1.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_020_PAK1\metz_020_PAK1.pdb,copied,427518
21,metz_021_SRPK1,SRPK1,Q96SB4,5MXX,21 Q96SB4_PDB_5MXX.ent,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_021_SRPK1\metz_021_srpk1.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_021_SRPK1\metz_021_SRPK1.pdb,copied,325377
22,metz_022_FES,FES,P07332,3CBL,22 P07332_PDB_3CBL.ent,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_022_FES\metz_022_fes.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_022_FES\metz_022_FES.pdb,copied,321246
23,metz_023_FLT4,FLT4,P35916,P35916_AF_v2,23 P35916_AF_v2.pdb,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_023_FLT4\metz_023_flt4.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_023_FLT4\metz_023_FLT4.pdb,copied,882413
24,metz_024_PRKCZ,PRKCZ,Q05513,Q05513_AF_v2,24 Q05513_AF_v2.pdb,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_024_PRKCZ\metz_024_prkcz.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_024_PRKCZ\metz_024_PRKCZ.pdb,copied,392768
25,metz_025_TOPK,TOPK,Q96KB5,Q96KB5_AF_v2,25 Q96KB5_AF_v2.pdb,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_025_TOPK\metz_025_topk.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_025_TOPK\metz_025_TOPK.pdb,copied,211166
26,metz_026_DAPK3,DAPK3,O43293,	3BHY,26 O43293_PDB_3BHY.ent,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_026_DAPK3\metz_026_dapk3.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_026_DAPK3\metz_026_DAPK3.pdb,copied,438615
27,metz_027_DYRK1B,DYRK1B,Q9Y463,Q9Y463_AF_v2,27 Q9Y463_AF_v2.pdb,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_027_DYRK1B\metz_027_dyrk1b.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_027_DYRK1B\metz_027_DYRK1B.pdb,copied,402731
28,metz_028_JAK2,JAK2,O60674,7LL4,28 O60674_PDB_7LL4.ent,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_028_JAK2\metz_028_jak2.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_028_JAK2\metz_028_JAK2.pdb,copied,667035
29,metz_029_KDR,KDR,P35968,4ASE,29 P35968_PDB_4ASE.ent,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_029_KDR\metz_029_kdr.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_029_KDR\metz_029_KDR.pdb,copied,264060
30,metz_030_MST1R,MST1R,Q04912,4FWW,30 Q04912_PDB_4FWW.ent,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_030_MST1R\metz_030_mst1r.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_030_MST1R\metz_030_MST1R.pdb,copied,729000
31,metz_031_PAK4,PAK4,O96013,5UPL,31 O96013_PDB_5UPL.ent,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_031_PAK4\metz_031_pak4.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_031_PAK4\metz_031_PAK4.pdb,copied,348138
32,metz_032_CDC7,CDC7,O00311,4F9C,32 O00311_PDB_4F9C.ent,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_032_CDC7\metz_032_cdc7.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_032_CDC7\metz_032_CDC7.pdb,copied,315900
33,metz_033_MAP4K5,MAP4K5,Q9Y4K4,Q9Y4K4_AF_v2,33 Q9Y4K4_AF_v2.pdb,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_033_MAP4K5\metz_033_map4k5.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_033_MAP4K5\metz_033_MAP4K5.pdb,copied,550880
34,metz_034_ALK,ALK,Q9UM73,7NX4,34 Q9UM73_PDB_7NX4.ent,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_034_ALK\metz_034_alk.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_034_ALK\metz_034_ALK.pdb,copied,470529
35,metz_035_CDK9,CDK9,P50750,	3MI9,35 P50750_PDB_3MI9.ent,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_035_CDK9\metz_035_cdk9.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_035_CDK9\metz_035_CDK9.pdb,copied,488025
36,metz_036_GPRK5,GPRK5,P34947,4TND,36 P34947_PDB_4TND.ent,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_036_GPRK5\metz_036_gprk5.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_036_GPRK5\metz_036_GPRK5.pdb,copied,792909
37,metz_037_GSK3A,GSK3A,P49840,P49840_AF_v2,37 P49840_AF_v2.pdb,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_037_GSK3A\metz_037_gsk3a.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_037_GSK3A\metz_037_GSK3A.pdb,copied,297917
38,metz_038_GSK3B,GSK3B,P49841,6V6L,38 P49841_PDB_6V6L.ent,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_038_GSK3B\metz_038_gsk3b.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_038_GSK3B\metz_038_GSK3B.pdb,copied,537030
39,metz_039_ROCK1,ROCK1,Q13464,	7JOU,39 Q13464_PDB_7JOU.ent,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_039_ROCK1\metz_039_rock1.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_039_ROCK1\metz_039_ROCK1.pdb,copied,284634
40,metz_040_AKT3,AKT3,Q9Y243,Q9Y243_AF_v2,40 Q9Y243_AF_v2.pdb,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_040_AKT3\metz_040_akt3.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_040_AKT3\metz_040_AKT3.pdb,copied,324728
41,metz_041_CAMK2D,CAMK2D,Q13557,2WEL,41 Q13557_PDB_2WEL.ent,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_041_CAMK2D\metz_041_camk2d.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_041_CAMK2D\metz_041_CAMK2D.pdb,copied,401679
42,metz_042_CSNK1G2,CSNK1G2,P78368,P78368_AF_v2,42 P78368_AF_v2.pdb,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_042_CSNK1G2\metz_042_csnk1g2.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_042_CSNK1G2\metz_042_CSNK1G2.pdb,copied,277262
43,metz_043_KIAA1811,KIAA1811,Q8TDC3,Q8TDC3_AF_v2,43 Q8TDC3_AF_v2.pdb,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_043_KIAA1811\metz_043_kiaa1811.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_043_KIAA1811\metz_043_KIAA1811.pdb,copied,493856
44,metz_044_FRK,FRK,P42685,P42685_AF_v2,44 P42685_AF_v2.pdb,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_044_FRK\metz_044_frk.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_044_FRK\metz_044_FRK.pdb,copied,340037
45,metz_045_CSNK1D,CSNK1D,P48730,5IH5,45 P48730_PDB_5IH5.ent,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_045_CSNK1D\metz_045_csnk1d.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_045_CSNK1D\metz_045_CSNK1D.pdb,copied,442422
46,metz_046_MAPK12,MAPK12,P53778,P53778_AF_v2,46 P53778_AF_v2.pdb,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_046_MAPK12\metz_046_mapk12.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_046_MAPK12\metz_046_MAPK12.pdb,copied,245348
47,metz_047_CAMK1D,CAMK1D,Q8IU85,6QP5,47 Q8IU85_PDB_6QP5.ent,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_047_CAMK1D\metz_047_camk1d.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_047_CAMK1D\metz_047_CAMK1D.pdb,copied,228825
48,metz_048_CAMK2A,CAMK2A,Q9UQM7,3SOA,48 Q9UQM7_PDB_3SOA.ent,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_048_CAMK2A\metz_048_camk2a.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_048_CAMK2A\metz_048_CAMK2A.pdb,copied,620460
49,metz_049_FLT1,FLT1,P17948,3HNG,49 P17948_PDB_3HNG.ent,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_049_FLT1\metz_049_flt1.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_049_FLT1\metz_049_FLT1.pdb,copied,241056
50,metz_050_JAK3,JAK3,P52333,3LXL,50 P52333_PDB_3LXL.ent,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_050_JAK3\metz_050_jak3.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_050_JAK3\metz_050_JAK3.pdb,copied,246564
51,metz_051_NTRK2,NTRK2,Q16620,4ASZ,51 Q16620_PDB_4ASZ.ent,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_051_NTRK2\metz_051_ntrk2.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_051_NTRK2\metz_051_NTRK2.pdb,copied,257013
52,metz_052_TAO1,TAO1,Q7L7X3,Q7L7X3_AF_v2,52 Q7L7X3_AF_v2.pdb,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_052_TAO1\metz_052_tao1.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_052_TAO1\metz_052_TAO1.pdb,copied,669545
53,metz_053_ROCK2,ROCK2,O75116,O75116_AF_v2,53 O75116_AF_v2.pdb,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_053_ROCK2\metz_053_rock2.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_053_ROCK2\metz_053_ROCK2.pdb,copied,926153
54,metz_054_CSNK1G3,CSNK1G3,Q9Y6M4,2IZR,54 Q9Y6M4_PDB_2IZR.ent,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_054_CSNK1G3\metz_054_csnk1g3.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_054_CSNK1G3\metz_054_CSNK1G3.pdb,copied,541323
55,metz_055_MKNK2,MKNK2,Q9HBH9,2AC3,55 Q9HBH9_PDB_2AC3.ent,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_055_MKNK2\metz_055_mknk2.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_055_MKNK2\metz_055_MKNK2.pdb,copied,233604
56,metz_056_RPS6KA5,RPS6KA5,O75582,1VZO,56 O75582_PDB_1VZO.ent,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_056_RPS6KA5\metz_056_rps6ka5.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_056_RPS6KA5\metz_056_RPS6KA5.pdb,copied,265194
57,metz_057_CAMK2B,CAMK2B,Q13554,Q13554_AF_v2,57 Q13554_AF_v2.pdb,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_057_CAMK2B\metz_057_camk2b.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_057_CAMK2B\metz_057_CAMK2B.pdb,copied,422252
